"subjectID","age","target","domain","parcellation","beta","hemisphere","region","process","label"
"s036",10,"other","social","102",-0.552543145815573,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",10,"self","academic","102",1.88317055663939,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",10,"self","social","102",0.813878049401593,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",10,"other","academic","102",-1.60890539039125,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",10,"other","social","102",5.10767856484729,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",13,"self","academic","102",-0.402267193568137,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",13,"self","social","102",-0.122767987946542,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",13,"other","academic","102",-3.48533700989582,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",13,"other","social","102",-2.12343010028438,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",16,"self","academic","102",2.2183147649037,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",16,"self","social","102",2.346361275195,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",16,"other","academic","102",-4.37967558533638,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s038",16,"other","social","102",-2.03387979880921,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s039",10,"self","academic","102",0.239871827596094,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s039",10,"self","social","102",1.15089950687274,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s039",10,"other","academic","102",1.14380671195366,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s039",10,"other","social","102",-0.0211666975764615,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",10,"self","academic","102",-0.196860983503063,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",10,"self","social","102",-2.86927595521756,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",10,"other","academic","102",0.175375526682758,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",10,"other","social","102",1.05471244686809,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",13,"self","academic","102",-2.11543222226375,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",13,"self","social","102",0.826963628036983,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",13,"other","academic","102",1.71104326527992,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",13,"other","social","102",-0.659145719848917,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",16,"self","academic","102",-2.39463859061644,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",16,"self","social","102",0.486881216825229,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",16,"other","academic","102",0.541545837685032,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s040",16,"other","social","102",2.18472081922659,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",13,"self","academic","102",1.37296545533101,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",13,"self","social","102",-1.21315068240804,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",13,"other","academic","102",0.527881806155497,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",13,"other","social","102",1.59810637614207,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",16,"self","academic","102",-1.687434589094,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",16,"self","social","102",-1.26206184599072,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",16,"other","academic","102",1.85769289010899,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s041",16,"other","social","102",-4.00437946650878,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",10,"self","academic","102",1.1034933442774,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",10,"self","social","102",3.17808141979527,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",10,"other","academic","102",-2.98508939959444,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",10,"other","social","102",1.81291706857696,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",13,"self","academic","102",0.836619511624928,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",13,"self","social","102",1.09523867646776,"left","rmPFC_BA10","other","left_rmPFC_BA10"
